ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Notes
1,100n,"C1,C2,C7,C16,C25,C29,C33,C41,C42,C43,C44,C46,C47,C57,C58,C60,C61,C62,C65,C66,C70,C72,C74,C75,C76",1206,25,,,,,C0G
2,1n3,"C3,C6",1206,2,1,,,,C0G
3,2n7,"C4,C5",1206,2,,,,,C0G
4,1n8,"C8,C11,C13,C14",1206,4,,,,,C0G
5,1n,"C9,C10,C12,C15",1206,4,,,,,C0G
6,10n,"C17,C18,C37,C45,C51,C52,C53,C54,C55,C56",1206,10,,,,,C0G
7,820p,"C19,C21,C23",1206,3,,,,,C0G
8,470p,"C20,C31",1206,2,,,,,C0G
9,510p,"C22,C24,C49,C50",1206,4,,,,,C0G
10,270p,"C26,C28,C30,C32",1206,4,,,,,C0G
11,180p,C27,1206,1,,,,,C0G
12,150p,"C34,C36",1206,2,,,,,C0G
13,100p,C35,1206,1,,,,,C0G
14,120p,"C38,C40",1206,2,,,,,C0G
15,220p,C39,1206,1,,,,,C0G
16,100u,"C48,C63",1206,2,,,,,
17,22u,"C59,C64,C67,C68,C69,C71,C73,C77",1206,8,,,,,
18,1N4148W-7-F,"D1,D2,D3,D4",SOD-123_L2.8-W1.8-LS3.7-RD,4,1N4148W-7-F,DIODES,LCSC,C83528,
19,SS14,"D5,D6",SMA_L4.4-W2.8-LS5.4-RD,2,SS14,MDD,Mouser,,
20,ANTSW2,J1,1WIRE,1,,,,,Flying lead connection only
21,ANT,"J2,J52",1WIRE,2,,,,,Flying lead connection only
22,ANTSW1,J3,1WIRE,1,,,,,Flying lead connection only
23,ANTSW3,J4,1WIRE,1,,,,,Flying lead connection only
24,GND,"J5,J8,J11,J20,J31,J39,J43,J47,J49,J51",1WIRE,10,,,,,Flying lead connection only
25,TUNEA,J6,1WIRE,1,,,,,Flying lead connection only
26,TUNEB,J7,1WIRE,1,,,,,Flying lead connection only
27,FINEA,J9,1WIRE,1,,,,,Flying lead connection only
28,FINEB,J10,1WIRE,1,,,,,Flying lead connection only
29,BAND1,J12,1WIRE,1,,,,,Flying lead connection only
30,BAND2,J13,1WIRE,1,,,,,Flying lead connection only
31,BAND3,J14,1WIRE,1,,,,,Flying lead connection only
32,BAND4,J15,1WIRE,1,,,,,Flying lead connection only
33,BAND5,J16,1WIRE,1,,,,,Flying lead connection only
34,SP1,J17,1WIRE,1,,,,,Flying lead connection only
35,BAND6,J18,1WIRE,1,,,,,Flying lead connection only
36,SP2,J19,1WIRE,1,,,,,Flying lead connection only
37,FILTER1,J21,1WIRE,1,,,,,Flying lead connection only
38,PHL,J22,1WIRE,1,,,,,Flying lead connection only
39,FILTER2,J23,1WIRE,1,,,,,Flying lead connection only
40,PHSW,J24,1WIRE,1,,,,,Flying lead connection only
41,FILTER3,J25,1WIRE,1,,,,,Flying lead connection only
42,VOL1,J26,1WIRE,1,,,,,Flying lead connection only
43,PHR,J27,1WIRE,1,,,,,Flying lead connection only
44,FILTER4,J28,1WIRE,1,,,,,Flying lead connection only
45,VOL2,J29,1WIRE,1,,,,,Flying lead connection only
46,PHCOM,J30,1WIRE,1,,,,,Flying lead connection only
47,VOL3,J32,1WIRE,1,,,,,Flying lead connection only
48,MODE1,J33,1WIRE,1,,,,,Flying lead connection only
49,MODE2,J34,1WIRE,1,,,,,Flying lead connection only
50,MODE3,J35,1WIRE,1,,,,,Flying lead connection only
51,MODE4,J36,1WIRE,1,,,,,Flying lead connection only
52,MODE5,J37,1WIRE,1,,,,,Flying lead connection only
53,MODE6,J38,1WIRE,1,,,,,Flying lead connection only
